season,n,n_hc75,hc75,n_hc65,hc65,acc
2010,256,16,0.875,77,0.6883116883116883,0.62890625
2011,256,24,0.9166666666666666,85,0.7647058823529411,0.65234375
2012,256,26,0.8461538461538461,80,0.7875,0.62109375
2013,256,26,0.8461538461538461,72,0.7638888888888888,0.64453125
2014,256,26,0.8846153846153846,81,0.8024691358024691,0.65625
2015,256,29,0.7586206896551724,71,0.6901408450704225,0.65625
2016,256,21,0.8095238095238095,73,0.7671232876712328,0.640625
2017,256,19,0.9473684210526315,78,0.717948717948718,0.65625
2018,256,25,0.88,78,0.7948717948717948,0.64453125
2019,256,34,0.7647058823529411,78,0.7051282051282052,0.62890625
2020,256,28,0.7857142857142857,75,0.7066666666666667,0.625
2021,272,30,0.8333333333333334,80,0.725,0.6029411764705882
2022,271,24,0.7916666666666666,82,0.7439024390243902,0.6236162361623616
2023,272,22,0.6363636363636364,82,0.7073170731707317,0.6066176470588235
2024,272,25,0.92,84,0.7738095238095238,0.6654411764705882
2025,272,30,0.8,90,0.7333333333333333,0.625
2026,17,0,,5,0.8,0.6470588235294118
