K,HA,Rev,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n
16,50,0.4,0.2216954527950537,0.6352236500329396,0.6487317448116833,0.7888198757763976,805,0.7329504666188084,1393
16,50,0.5,0.22124990450877421,0.6337140301998492,0.6464258262874711,0.7884362680683311,761,0.7305171158048069,1373
18,50,0.4,0.2223174955908684,0.6372069516497224,0.6487317448116833,0.7830750893921334,839,0.7327647476901208,1407
18,50,0.5,0.22180209727316438,0.6354249780661925,0.6471944657955419,0.779746835443038,790,0.7309899569583931,1394
16,50,0.3,0.22252058850511117,0.6378629707076073,0.6477068921342557,0.7786790266512167,863,0.7314165497896213,1426
18,65,0.5,0.222103079939048,0.6362033034483109,0.6474506789648988,0.7781531531531531,888,0.7248189598420013,1519
16,65,0.5,0.22160917909529002,0.6345880591136142,0.6484755316423264,0.7780401416765053,847,0.7251655629139073,1510
20,50,0.4,0.22299453671304545,0.6393789211409029,0.6487317448116833,0.7771428571428571,875,0.7314165497896213,1426
20,50,0.5,0.22242175866779798,0.6373563214740211,0.6474506789648988,0.7764423076923077,832,0.7265017667844523,1415
20,65,0.5,0.22266951735695337,0.6380438833391614,0.6456571867794004,0.775599128540305,918,0.7256057629338573,1527
22,50,0.5,0.2230936239119697,0.6394686651242005,0.644119907763259,0.7746806039488966,861,0.7266993693062369,1427
18,50,0.3,0.2232025612989048,0.6401305005218256,0.6505252369971817,0.7741573033707865,890,0.7334725121781489,1437
24,50,0.5,0.22380669021459448,0.6417333174191818,0.6438636945939021,0.7738636363636363,880,0.7267683772538142,1442
22,50,0.4,0.2237140536356526,0.6417057629261238,0.646938252626185,0.7732300884955752,904,0.7314365024288688,1441
20,50,0.3,0.22392617255335415,0.6425486564555751,0.6492441711503971,0.7713347921225383,914,0.7314878892733564,1445
18,65,0.4,0.22256466474014255,0.6379002292790236,0.6477068921342557,0.7712137486573577,931,0.7270967741935483,1550
24,50,0.4,0.22446712798229215,0.6441634373398817,0.6477068921342557,0.7702265372168284,927,0.7267123287671233,1460
22,65,0.5,0.2232925720914557,0.6400697675358064,0.6459133999487574,0.7697993664202746,947,0.7248539909149903,1541
22,50,0.3,0.22468247051648063,0.6450920176808739,0.6484755316423264,0.769394261424017,941,0.7306374228923921,1459
16,65,0.4,0.22200050823848444,0.6360140618080945,0.6461696131181143,0.7683741648106904,898,0.7269155206286837,1527
18,65,0.3,0.2233921182547073,0.6407277196869123,0.646938252626185,0.7675619834710744,968,0.7252396166134185,1565
24,50,0.3,0.22546505368813197,0.6477429464311063,0.6477068921342557,0.7670807453416149,966,0.7278266756939743,1477
24,65,0.5,0.22396068081788367,0.6422517181380047,0.6451447604406867,0.7669404517453798,974,0.7229381443298969,1552
22,65,0.4,0.22386117813826525,0.6422207982922621,0.6448885472713297,0.7668024439918534,982,0.7259400892288081,1569
16,65,0.3,0.22276679730795929,0.6385580075270262,0.6461696131181143,0.7660256410256411,936,0.723047127178825,1549
20,65,0.4,0.22318932200326622,0.6399806726934338,0.6459133999487574,0.7654450261780105,955,0.72400513478819,1558
16,80,0.5,0.22258328336284375,0.636973628480626,0.6438636945939021,0.7651991614255765,954,0.7176258992805755,1668
20,65,0.3,0.224064873666271,0.6430542782990004,0.6477068921342557,0.7643504531722054,993,0.7210626185958254,1581
16,80,0.4,0.22289981013770738,0.63829530680209,0.644119907763259,0.7639877924720244,983,0.7154761904761905,1680
22,65,0.3,0.22477523337958527,0.6455113019464416,0.6471944657955419,0.7630285152409046,1017,0.7212806026365348,1593
24,65,0.4,0.2245706681633072,0.6445959005319702,0.6466820394568281,0.7624750499001997,1002,0.7256637168141593,1582
18,80,0.5,0.22299996948028736,0.6384742439678144,0.646938252626185,0.7620020429009193,979,0.7160714285714286,1680
22,80,0.5,0.22405347299358158,0.6421289378274515,0.6459133999487574,0.7612085769980507,1026,0.7141162514827996,1686
16,80,0.3,0.22358345781095715,0.6407197562227552,0.644376120932616,0.7610186092066601,1021,0.7129243597379392,1679
20,80,0.5,0.2234956126904918,0.6402062832055682,0.6466820394568281,0.7601990049751244,1005,0.7159763313609467,1690
24,80,0.5,0.22466128490426615,0.6442123026247008,0.6446323341019728,0.7599620493358634,1054,0.7147887323943662,1704
24,65,0.3,0.22551608480530302,0.6480803707687748,0.6454009736100436,0.7596153846153846,1040,0.7202753441802253,1598
18,80,0.4,0.2233871266474324,0.6400650332200357,0.6446323341019728,0.7591312931885489,1013,0.7126843657817109,1695
16,95,0.5,0.2241537582792303,0.6408546898190801,0.6402767102229054,0.7586872586872587,1036,0.7031076581576027,1802
18,80,0.3,0.22413348328109037,0.6427721578130897,0.6446323341019728,0.7561904761904762,1050,0.7128537735849056,1696
22,80,0.4,0.22454991259202117,0.6441724288575377,0.646938252626185,0.7551789077212806,1062,0.7112144102266125,1721
20,80,0.4,0.22394192400279134,0.6420359307045009,0.6466820394568281,0.7548449612403101,1032,0.7136177673874927,1711
16,95,0.4,0.2243764754662322,0.6420521641954966,0.641301562900333,0.753731343283582,1072,0.7054605626034197,1813
18,95,0.5,0.22447571441639075,0.6422225036214753,0.6418139892390469,0.7532710280373832,1070,0.7033149171270718,1810
20,95,0.5,0.22488422575508804,0.6438289056783247,0.6407891365616193,0.7531645569620253,1106,0.7019283746556474,1815
24,80,0.4,0.2252007112836688,0.6464490085108122,0.6454009736100436,0.7527573529411765,1088,0.7103128621089224,1726
22,80,0.3,0.2253869529545366,0.6473428301719528,0.6459133999487574,0.7527472527472527,1092,0.7104806022003475,1727
18,95,0.4,0.22476933370900118,0.6436868795835466,0.6405329233922623,0.7527372262773723,1096,0.7034596375617792,1821
20,80,0.3,0.2247382999442931,0.6449890352090337,0.6448885472713297,0.7525676937441643,1071,0.7099592312172394,1717
16,95,0.3,0.22495529318089336,0.6443338897838132,0.638739431206764,0.7515638963360143,1119,0.7041712403951701,1822
24,95,0.5,0.22589473752311295,0.6476016433853853,0.6428388419164746,0.7478559176672385,1166,0.7007099945385036,1831
22,95,0.5,0.22536159536755296,0.6456321804599927,0.64155777606969,0.7478108581436077,1142,0.7001638448935008,1831
18,95,0.3,0.22541261627887074,0.6462501965378535,0.6430950550858314,0.7476149176062445,1153,0.7043715846994536,1830
24,80,0.3,0.22607142622990498,0.6498141671726418,0.6466820394568281,0.7473309608540926,1124,0.7118840579710145,1725
20,95,0.4,0.22523795453693554,0.6455308727517741,0.6410453497309762,0.7469244288224957,1138,0.7024657534246576,1825
22,95,0.4,0.22576688435392683,0.6475474307823718,0.64155777606969,0.7448805460750854,1172,0.7009294696555495,1829
20,95,0.3,0.22593347795717952,0.6483399405713887,0.6433512682551883,0.7442650807136788,1177,0.7030995106035889,1839
24,95,0.4,0.22634478082122508,0.6497100830065206,0.6433512682551883,0.74395329441201,1199,0.7009244154431756,1839
22,95,0.3,0.22650558492514392,0.6505741842580233,0.6420702024084038,0.7418817651956703,1201,0.7017353579175705,1844
24,95,0.3,0.22711984939492352,0.6529324333003713,0.6423264155777607,0.7399836467702371,1223,0.7007575757575758,1848
