spread_to_elo,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n,hc55,hc55_n
0,0.2211051273550068,0.632270066403176,0.6407891365616193,0.825,400,0.7517667844522968,1132,0.6801695713612812,2123
8,0.2167110420401936,0.6225535041390695,0.6515500896746093,0.7901840490797546,815,0.7325428194993412,1518,0.6800356506238859,2244
12,0.21649544886582625,0.6229027553544152,0.6530873686907507,0.7837837837837838,999,0.7277676950998185,1653,0.6806649168853893,2286
16,0.21721637405244285,0.6262469775468593,0.6579554189085319,0.7766990291262136,1133,0.7185901080159182,1759,0.6785407725321888,2330
20,0.21864662824480713,0.6322611408139522,0.6620548296182424,0.7639553429027113,1254,0.7162891046386192,1854,0.677131947390751,2357
24,0.2206046197142016,0.640651572208074,0.6635921086343838,0.7586206896551724,1363,0.7106625258799172,1932,0.6767676767676768,2376
28,0.2229473795441778,0.6511562602416984,0.66307968229567,0.7522367515485203,1453,0.7047619047619048,1995,0.6764459346186086,2386
32,0.22556334397161693,0.6635432878916081,0.6643607481424545,0.7461240310077519,1548,0.7013618677042801,2056,0.674688796680498,2410
36,0.22836595694231168,0.677608340008186,0.6628234691263131,0.7357449417535254,1631,0.6969267139479906,2115,0.6746589499793303,2419
40,0.2312883635129557,0.6931718659939154,0.66307968229567,0.7309495896834701,1706,0.6954102920723226,2157,0.6743706149401568,2423
