alpha,n,brier,logloss,acc,hc75,hc75_n,hc65,hc65_n
1.0,2127,0.21718672722590296,0.6244381977352481,0.6539727315467795,0.8158995815899581,239,0.7218934911242604,845
0.9,2127,0.21647678572077508,0.6226464947741795,0.6572637517630465,0.8143459915611815,237,0.7333333333333333,840
0.8,2127,0.21586265489599674,0.621123800169179,0.6582040432534085,0.8177777777777778,225,0.7333333333333333,810
0.7,2127,0.21534433475156783,0.6198484250759494,0.6605547719793136,0.832579185520362,221,0.7379746835443038,790
0.6,2127,0.21492182528748843,0.6188073115251524,0.6624353549600376,0.8423423423423423,222,0.7421465968586387,764
0.5,2127,0.21459512650375853,0.617992423445038,0.6661965209214856,0.8362068965517241,232,0.738191632928475,741
0.4,2127,0.21436423840037808,0.6173991600876094,0.6619652092148566,0.8340248962655602,241,0.7406380027739251,721
0.3,2127,0.21422916097734718,0.6170255927988334,0.6614950634696756,0.832,250,0.7414285714285714,700
0.2,2127,0.21418989423466572,0.6168721152993119,0.6605547719793136,0.8339622641509434,265,0.7470588235294118,680
0.1,2127,0.21424643817233374,0.6169413514149205,0.6624353549600376,0.8243727598566308,279,0.7450980392156863,663
0.0,2127,0.21439879279035123,0.617238269637809,0.6577338975082275,0.8047138047138047,297,0.7484177215189873,632
